career_domain,math_scores,cs_fundamentals_scores,cgpa,cognitive_ability_score,programming_skill,web_dev_skill,mobile_dev_skill,data_analytics_skill,data_science_ml_skill,db_sql_skill,cloud_devops_skill,cybersecurity_skill,networking_sysadmin_skill,ui_ux_design_skill,qa_testing_skill,business_analysis_skill,interest_dev_overall,interest_data_overall,interest_cloud_infra_overall,interest_cybersecurity,interest_ui_ux_design,interest_business_and_management,teamwork_behavior,learning_motivation,communication_skill,professional_discipline_score,project_count,project_complexity,internship_experience_count,github_repos_count,github_commits_90d,certifications_total,lang_python,lang_java,lang_javascript,lang_c_cpp,lang_sql,frontend_react,frontend_angular,backend_node,backend_django,backend_spring,db_postgres,data_tool_spark,data_tool_airflow,data_tool_kafka,cloud_aws,cloud_azure,devops_docker,devops_kubernetes,devops_terraform,observability_prometheus,observability_grafana,security_tool_siem,security_tool_wireshark,security_tool_burpsuite,testing_tool_selenium,testing_tool_jmeter,mobile_kotlin,mobile_flutter,projects_backend,projects_frontend,projects_fullstack,projects_mobile_android,projects_data_analytics,projects_data_engineering,projects_ml_ai,projects_cloud,projects_devops,projects_security_defense,projects_security_offense,projects_embedded,system_design_score,distributed_systems_knowledge_score,cloud_arch_patterns_score,data_modeling_skill,api_design_skill,siem_experience_score,incident_response_cases,vuln_assessments_done,pentest_tools_known_count,compliance_frameworks_known_count,embedded_c_cpp_skill,microcontroller_projects_count,rtos_experience_score,firmware_debugging_skill,job_role
"Cloud, DevOps & Platform Engineering",71.42,80.8,8.16,5.81,5.82,5.77,4.27,5.59,2.96,7.39,9.23,5.09,8.39,3.89,7.7,1.46,6.58,9.1,9.26,5.4,4.49,4.93,5.66,8.68,3.78,0.56,9,6.2,1,14,178,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,8.15,6.61,9.36,4.41,5.57,2.14,0,0,0,0,2.54,0,2.59,2.44,Platform Engineer
Software Engineering,48.74,75.35,9.14,6.82,3.33,3.38,5.62,6.73,4.71,4.06,6.22,2.55,6.37,5.31,2.92,5.33,9.39,5.41,6.62,5.39,6.85,6.25,6.56,6.44,8.51,0.52,3,8.83,2,7,50,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.08,4.57,2.4,2.54,5.57,2.16,0,0,0,0,3.29,0,2.36,2.81,Application Support Engineer
Cybersecurity,75.15,75.85,8.48,3.73,5.9,4.69,1.68,2.89,4.38,5.17,6.6,8.77,8.34,1.83,7.23,7.53,3.66,5.61,5.39,9.87,6.56,8.42,5.46,8.24,8.24,0.94,6,4.91,2,9,141,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,4.51,5.55,6.3,4.46,7.15,5.24,2,3,0,5,0.61,0,1.91,5.83,GRC Analyst
Cybersecurity,58.15,73.91,8.72,6.28,6.53,2.29,1.57,6.86,2.48,4.04,7.73,10.0,6.79,0.9,6.6,8.25,6.13,4.11,7.48,5.84,1.27,5.25,3.51,8.15,7.76,0.93,11,6.59,2,17,257,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,7.43,6.43,5.82,6.25,5.45,7.83,13,12,6,0,1.92,0,3.4,3.08,Cybersecurity Engineer
Data & Artificial Intelligence,89.58,95.37,9.31,7.66,5.75,2.21,1.46,9.8,3.7,8.64,4.25,1.57,3.17,2.17,2.72,6.93,9.54,6.26,5.74,7.91,6.59,3.55,6.82,6.11,6.2,0.54,6,4.07,1,10,149,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,6.41,3.77,1.13,3.49,7.03,4.35,1,1,0,0,2.6,0,2.43,2.9,Data Analyst
Data & Artificial Intelligence,84.41,70.68,7.9,8.04,5.1,4.95,5.07,6.76,6.42,9.33,3.26,3.03,4.71,1.96,2.48,4.6,6.17,9.87,6.12,5.49,6.64,6.87,5.65,9.06,9.64,0.65,7,6.74,2,6,91,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,1,0,0,4.39,4.97,4.24,6.12,3.33,2.45,0,0,0,0,1.31,0,2.55,2.38,BI Analyst
Data & Artificial Intelligence,78.06,58.5,7.93,7.3,3.98,1.0,6.68,7.43,7.9,9.19,7.76,1.66,4.91,2.47,5.91,8.29,4.91,6.68,5.25,3.06,7.27,2.82,8.18,4.66,5.57,0.59,10,5.68,2,10,186,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3.47,7.4,4.17,6.75,5.04,1.91,0,0,0,0,1.19,0,2.73,2.81,Data Scientist
Software Engineering,63.9,86.28,8.39,5.63,9.0,5.33,5.48,5.24,4.21,7.21,5.6,4.65,5.59,5.15,8.81,8.96,10.0,6.56,4.65,6.35,6.93,6.16,3.82,6.49,3.43,0.7,10,3.16,3,16,165,7,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10.0,7.37,5.01,4.11,3.43,3.48,0,0,0,1,4.31,0,2.74,3.46,Systems Software Engineer
Cybersecurity,68.86,63.17,8.27,7.2,9.48,0.49,3.06,3.16,3.76,6.02,5.91,8.84,6.54,2.03,7.29,4.45,5.2,5.26,5.23,8.83,5.55,5.12,9.16,8.5,3.88,0.6,9,7.89,1,12,209,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6.97,6.35,3.12,7.29,7.2,5.34,2,16,8,0,4.26,0,0.32,4.04,Penetration Tester
Quality Assurance & Testing,58.46,79.59,6.19,4.27,5.88,4.12,7.26,6.3,5.35,6.22,5.13,0.67,7.77,5.26,10.0,2.83,4.26,7.61,5.16,8.52,4.07,5.05,5.21,4.81,1.61,0.76,9,7.64,1,12,143,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,4.51,4.36,2.89,1.1,5.96,2.12,1,0,0,0,2.73,0,2.03,3.5,Automation Test Engineer
UI/UX & Product,59.32,57.25,8.87,4.92,3.99,6.76,5.45,5.44,1.73,2.53,2.94,3.1,0.0,8.16,2.52,7.32,7.45,7.06,4.35,7.12,9.74,7.38,9.64,3.78,5.22,0.45,2,7.53,0,4,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,3.73,0.62,2.34,4.0,3.28,1.6,1,1,0,0,0.89,0,2.75,2.53,UI Designer
Quality Assurance & Testing,71.97,47.78,7.51,6.88,6.1,4.2,3.75,3.08,0.22,4.87,2.02,0.77,2.44,1.1,6.44,3.26,6.43,4.2,3.63,4.3,4.09,4.65,5.21,7.81,7.22,0.49,5,3.36,0,3,8,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,1,0,5.96,5.31,0.59,0.38,5.43,2.72,0,0,0,0,3.14,0,1.66,1.13,QA Engineer
Data & Artificial Intelligence,82.16,77.56,8.65,7.22,5.41,6.01,6.06,8.42,2.86,7.95,7.58,4.12,2.24,3.51,4.93,6.98,6.27,9.53,6.5,7.18,4.32,6.11,4.36,6.13,8.71,0.53,9,6.75,1,12,162,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,5,0,0,0,0,1,0,1,5.45,5.66,4.17,4.58,4.18,2.95,0,0,0,0,3.17,0,1.05,2.75,Data Analyst
Data & Artificial Intelligence,82.43,87.66,9.19,7.81,9.64,2.2,2.22,5.83,5.3,6.58,7.53,2.86,2.17,2.84,4.35,4.48,5.04,7.75,6.27,4.2,2.91,5.81,6.31,7.69,7.37,0.69,5,6.45,1,7,116,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,9.86,10.0,7.13,6.05,7.64,5.56,0,0,0,0,0.41,0,3.83,1.79,Machine Learning Engineer
Systems & Infrastructure,53.57,67.44,8.93,6.53,7.45,3.61,4.44,6.98,2.71,9.36,3.53,4.27,7.69,3.91,7.63,3.83,3.46,8.54,7.22,3.34,6.06,3.42,8.81,4.68,1.9,0.47,10,5.56,2,17,222,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,3,1,4,0,0,0,0,4.01,3.15,3.97,6.29,8.52,2.68,0,0,0,0,5.4,2,5.05,3.07,Database Administrator
Quality Assurance & Testing,49.3,68.41,7.74,6.81,5.24,3.88,4.71,3.48,2.04,7.2,6.31,2.91,3.88,3.71,9.5,4.41,7.91,6.53,6.03,2.88,8.0,8.07,5.37,6.37,5.78,0.76,6,5.97,0,6,66,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.69,7.08,0.36,0.74,8.67,1.19,0,0,0,0,1.35,1,2.92,4.12,Automation Test Engineer
Data & Artificial Intelligence,86.54,84.72,9.56,9.01,7.97,3.75,4.11,7.07,7.23,6.98,4.32,1.28,3.21,5.52,0.5,6.42,4.18,8.34,3.3,4.31,4.86,5.98,3.58,8.82,9.77,0.51,4,8.07,0,9,86,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,5.69,5.87,1.72,7.2,9.58,1.2,0,0,0,0,1.12,0,2.69,1.55,BI Analyst
Data & Artificial Intelligence,78.9,88.43,8.27,9.48,4.84,4.72,5.55,6.35,6.28,7.21,9.15,1.01,4.89,4.0,3.29,8.68,5.35,9.68,7.31,6.96,7.78,6.25,4.66,6.83,9.49,0.63,3,5.39,0,3,76,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7.25,6.08,5.42,7.42,5.32,1.24,0,0,0,0,1.93,0,2.94,1.73,BI Analyst
Software Engineering,69.47,60.25,7.31,3.49,5.28,5.47,5.43,7.47,6.17,8.12,3.68,4.76,7.69,5.61,5.82,3.49,9.24,8.49,6.12,4.48,5.21,5.2,5.02,8.17,5.95,0.58,4,6.99,0,8,89,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,5.62,3.63,2.56,2.69,7.27,3.79,0,0,0,0,4.37,0,2.55,1.81,Backend Engineer
Software Engineering,56.02,86.03,7.3,6.04,8.36,2.23,6.78,6.84,7.07,7.88,4.57,3.81,6.78,6.49,7.64,5.83,7.64,3.28,4.04,3.44,6.57,5.63,3.34,8.06,5.12,0.72,10,4.47,1,14,152,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,7.72,8.5,5.24,0.45,7.75,2.12,1,0,0,0,1.02,0,2.11,5.21,Systems Software Engineer
Cybersecurity,62.1,61.17,7.07,3.58,7.1,4.33,3.55,4.46,1.57,3.62,6.02,9.99,6.15,3.43,5.99,4.02,5.76,5.22,3.98,7.87,8.01,6.72,6.23,7.17,5.15,0.72,7,5.0,2,18,258,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,0,7.45,6.96,3.46,2.46,4.99,4.38,4,16,9,0,2.58,0,3.37,1.24,Penetration Tester
UI/UX & Product,65.45,71.61,7.1,2.08,4.42,5.91,3.4,2.62,0.38,0.08,0.55,3.36,1.57,9.9,2.11,7.35,5.09,9.63,5.34,4.26,5.52,7.8,9.26,5.88,9.42,0.61,4,6.03,0,7,71,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1.79,2.56,2.62,3.09,4.54,0.0,0,1,0,0,2.09,0,1.76,3.37,Associate Product Manager
Quality Assurance & Testing,65.82,56.64,8.04,3.24,4.21,1.28,3.92,6.25,4.6,5.1,3.74,4.86,7.35,1.52,7.89,5.39,2.98,5.62,5.82,5.08,5.68,5.52,4.62,7.25,3.94,0.8,6,3.75,2,13,170,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.51,6.19,0.75,2.53,10.0,0.45,0,0,0,0,2.92,0,1.24,1.7,Performance Test Engineer
"Cloud, DevOps & Platform Engineering",65.34,77.82,7.84,6.72,3.42,5.86,3.87,4.89,4.33,6.66,9.96,2.55,5.7,3.63,3.71,5.99,6.36,7.13,9.92,6.94,5.46,6.82,2.95,7.46,7.45,0.78,12,4.34,3,11,268,5,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,6.5,6.69,5.76,2.25,5.57,2.26,0,0,2,0,2.48,0,3.1,1.06,DevOps Engineer
Data & Artificial Intelligence,64.32,78.51,6.98,6.47,5.75,2.55,3.5,8.29,3.29,5.96,3.54,4.74,5.22,4.38,2.08,5.52,5.17,7.71,8.2,5.74,4.48,6.44,6.41,7.26,10.0,0.64,2,6.04,2,6,75,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6.01,5.69,0.44,6.98,5.89,1.52,0,0,1,0,0.0,0,1.04,3.69,Data Analyst
Data & Artificial Intelligence,89.11,70.49,8.76,6.07,7.3,4.71,1.8,7.61,9.49,8.2,4.13,1.96,3.92,3.84,7.55,7.36,6.9,7.88,6.79,3.87,7.62,9.46,3.25,8.1,6.81,0.77,10,7.39,3,18,233,3,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,0,0,0,0,0,8.94,8.95,5.57,6.65,6.41,2.76,1,0,0,0,2.68,0,2.11,2.92,BI Analyst
"Cloud, DevOps & Platform Engineering",66.69,87.83,7.65,2.68,3.25,1.96,2.12,6.14,4.72,7.46,9.8,5.44,7.23,2.31,7.91,4.66,6.29,7.68,7.41,3.43,3.96,3.05,5.8,8.0,6.69,0.9,10,7.27,3,11,174,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,0,0,9.69,7.59,7.76,6.0,9.66,3.92,0,0,1,0,2.05,1,3.61,4.79,Cloud Engineer
"Cloud, DevOps & Platform Engineering",83.19,61.0,7.68,6.0,5.69,4.8,3.28,5.33,4.01,6.05,8.98,2.36,6.21,2.24,4.55,4.2,4.3,7.44,6.8,5.47,3.09,6.04,6.38,4.64,4.12,0.54,7,5.45,1,8,111,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,5.12,7.41,7.3,7.79,6.41,1.35,0,0,0,0,0.14,1,2.19,2.22,Cloud Engineer
UI/UX & Product,60.08,58.93,8.11,4.36,1.63,3.12,3.84,4.94,1.7,4.83,3.67,1.78,0.33,8.09,3.43,5.01,4.78,6.11,4.42,5.74,8.76,3.5,6.47,7.04,8.14,0.53,2,5.38,0,4,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2.51,6.43,2.45,0.09,2.99,2.77,1,0,0,0,1.39,0,2.21,0.17,UX Designer
