iter	MultiClass
0	3.199002127
1	3.009474685
2	2.877789344
3	2.745238368
4	2.63937686
5	2.554306336
6	2.462006579
7	2.396712009
8	2.31427552
9	2.257247892
10	2.186682216
11	2.136856945
12	2.078332728
13	2.028503944
14	1.983096297
15	1.942544692
16	1.895029894
17	1.85871573
18	1.821652121
19	1.794362296
20	1.75206949
21	1.711668015
22	1.686330249
23	1.660691939
24	1.638349325
25	1.610600729
26	1.578226168
27	1.553456526
28	1.530580904
29	1.501329559
30	1.482469053
31	1.462145887
32	1.44826005
33	1.429397961
34	1.415637461
35	1.399370943
36	1.381493574
37	1.361467193
38	1.342485087
39	1.329414528
40	1.310995504
41	1.301684132
42	1.287523115
43	1.272494713
44	1.259652543
45	1.249366988
46	1.239047326
47	1.225391577
48	1.213733295
49	1.202988185
50	1.190329678
51	1.177486996
52	1.168422091
53	1.156377057
54	1.14221795
55	1.132850709
56	1.124658167
57	1.112459266
58	1.10597435
59	1.094837855
60	1.082183119
61	1.070061452
62	1.060147827
63	1.049759752
64	1.038751907
65	1.030612722
66	1.022636124
67	1.013565831
68	1.005678843
69	0.9962509032
70	0.9890998145
71	0.9829786039
72	0.973745333
73	0.9659846499
74	0.9602917518
75	0.9520822811
76	0.9450785188
77	0.9383352909
78	0.9313294638
79	0.9257176273
80	0.9195207629
81	0.9129533429
82	0.9067184858
83	0.9010627853
84	0.8955562404
85	0.8903642546
86	0.8845544219
87	0.8785479715
88	0.8727972579
89	0.867032753
90	0.8623056399
91	0.8566788562
92	0.852371746
93	0.8459523458
94	0.8391733675
95	0.8341866387
96	0.8296833703
97	0.8253279769
98	0.8184014817
99	0.813578886
100	0.809088257
101	0.8035639348
102	0.7988471743
103	0.7939141976
104	0.7907581479
105	0.7872028677
106	0.7830728106
107	0.777096081
108	0.7726674766
109	0.7674289774
110	0.7640535058
111	0.7602551713
112	0.7554450201
113	0.7521875929
114	0.7486936736
115	0.7452156887
116	0.7417605874
117	0.7377015895
118	0.7344231174
119	0.7308288704
120	0.7277632797
121	0.7233934428
122	0.7213620429
123	0.7184103038
124	0.7151469764
125	0.712676459
126	0.7093839772
127	0.7067926659
128	0.7040036496
129	0.7004539276
130	0.6978009327
131	0.6944346887
132	0.6903764356
133	0.6871710917
134	0.6841186587
135	0.6804084559
136	0.6781941807
137	0.6761295261
138	0.6734191221
139	0.6706765733
140	0.666489982
141	0.6646399454
142	0.6623113615
143	0.6591815235
144	0.6553345325
145	0.652286086
146	0.6497365576
147	0.6464786442
148	0.6437043089
149	0.6408611843
150	0.637542174
151	0.6355454726
152	0.6332550792
153	0.6301652096
154	0.6270091421
155	0.6243273758
156	0.6211479721
157	0.6191678734
158	0.6170676671
159	0.614299944
160	0.6120378813
161	0.6099399145
162	0.6074034533
163	0.604235462
164	0.6021803788
165	0.5994086056
166	0.5973210971
167	0.5955173409
168	0.5930365494
169	0.5904550969
170	0.5886753999
171	0.5858471752
172	0.5839253517
173	0.5816325469
174	0.5789302549
175	0.5763598781
176	0.5735674192
177	0.5709821087
178	0.5686541457
179	0.5659049109
180	0.5638870889
181	0.5618088255
