iter	Passed	Remaining
0	296	177689
1	588	175973
2	882	175531
3	1158	172668
4	1455	173232
5	1740	172312
6	2034	172383
7	2314	171273
8	2615	171740
9	2909	171667
10	3208	171820
11	3499	171490
12	3784	170878
13	4076	170641
14	4376	170687
15	4673	170568
16	4968	170389
17	5257	169982
18	5547	169638
19	5874	170350
20	6196	170852
21	6486	170424
22	6785	170236
23	7098	170367
24	7397	170144
25	7678	169523
26	7977	169303
27	8277	169105
28	8563	168609
29	8858	168303
30	9169	168308
31	9463	167972
32	9760	167701
33	10056	167411
34	10347	167036
35	10652	166889
36	10952	166663
37	11244	166299
38	11538	165982
39	11838	165738
40	12138	165502
41	12436	165229
42	12721	164782
43	13026	164606
44	13310	164168
45	13600	163792
46	13902	163576
47	14201	163314
48	14489	162929
49	14765	162419
50	15062	162142
51	15361	161890
52	15655	161572
53	15948	161254
54	16249	161022
55	16544	160717
56	16830	160333
57	17138	160153
58	17442	159942
59	17731	159579
60	18030	159317
61	18310	158884
62	18613	158653
63	18911	158384
64	19201	158039
65	19493	157720
66	19780	157361
67	20082	157117
68	20372	156777
69	20665	156463
70	20957	156147
71	21235	155728
72	21539	155498
73	21833	155197
74	22124	154873
75	22417	154562
76	22712	154266
77	23002	153943
78	23310	153731
79	23618	153519
80	23926	153304
81	24234	153092
82	24527	152778
83	24829	152524
84	25137	152306
85	25425	151960
86	25718	151650
87	26018	151378
88	26303	151023
89	26596	150714
90	26890	150410
91	27193	150152
92	27479	149807
93	27767	149469
94	28061	149171
95	28340	148789
96	28614	148383
97	28891	147996
98	29194	147744
99	29487	147437
100	29769	147078
101	30067	146799
102	30361	146503
103	30653	146195
104	30943	145875
105	31231	145550
106	31528	145268
107	31833	145017
108	32126	144716
109	32414	144393
110	32703	144072
111	33006	143812
112	33298	143505
113	33590	143202
114	33880	142885
115	34179	142613
116	34460	142261
117	34757	141975
118	35037	141621
119	35333	141335
120	35617	141000
121	35892	140626
122	36181	140314
123	36477	140027
124	36778	139759
125	37063	139428
126	37348	139101
127	37625	138745
128	37918	138447
129	38220	138182
130	38509	137870
131	38802	137573
132	39095	137274
133	39379	136945
134	39675	136659
135	39963	136347
136	40246	136013
137	40541	135725
138	40825	135400
139	41110	135076
140	41406	134790
141	41700	134499
142	41992	134199
143	42287	133910
144	42579	133611
145	42874	133321
146	43163	133014
147	43462	132735
148	43756	132444
149	44055	132165
150	44347	131867
151	44648	131594
152	44932	131273
153	45221	130967
154	45508	130653
155	45799	130351
156	46096	130069
157	46393	129784
158	46679	129468
159	46979	129194
160	47273	128900
161	47554	128573
162	47836	128248
163	48136	127971
164	48432	127686
165	48715	127364
166	48995	127036
167	49281	126723
168	49563	126400
169	49874	126153
170	50180	125890
171	50472	125593
172	50774	125320
173	51055	124998
174	51353	124715
175	51645	124417
176	51928	124099
177	52226	123817
178	52534	123558
179	52839	123291
180	53132	122998
181	53424	122701
182	53702	122370
183	53999	122086
184	54279	121762
185	54581	121486
186	54861	121165
187	55151	120864
188	55445	120571
189	55734	120268
190	56034	119991
191	56328	119698
192	56621	119404
193	56898	119075
194	57200	118801
195	57499	118518
196	57784	118209
197	58087	117934
198	58397	117674
199	58688	117377
200	58979	117079
201	59270	116780
202	59557	116474
203	59856	116191
204	60132	115864
205	60427	115575
206	60720	115280
207	61017	114994
208	61310	114700
209	61603	114407
210	61906	114130
211	62199	113836
212	62490	113539
213	62784	113246
214	63067	112934
215	63362	112644
216	63660	112358
217	63955	112069
218	64262	111799
219	64543	111483
220	64836	111189
221	65134	110904
222	65422	110602
223	65711	110302
224	66008	110014
225	66287	109697
226	66576	109397
227	66868	109100
228	67149	108788
229	67441	108493
230	67719	108174
231	68010	107878
232	68310	107597
233	68592	107285
234	68876	106979
235	69161	106672
236	69462	106391
237	69753	106095
238	70042	105796
239	70342	105513
240	70670	105272
241	70966	104983
242	71255	104683
243	71549	104392
244	71831	104081
245	72130	103797
246	72417	103495
247	72713	103206
248	72993	102895
249	73276	102587
250	73561	102282
251	73854	101989
252	74137	101682
253	74433	101393
254	74719	101090
255	75019	100807
256	75290	100485
257	75578	100184
258	75867	99887
259	76157	99590
260	76456	99305
261	76742	99003
262	77045	98723
263	77328	98418
264	77610	98111
265	77892	97804
266	78194	97522
267	78481	97223
268	78770	96925
269	79063	96633
270	79347	96329
271	79628	96023
272	79904	95709
273	80179	95396
274	80473	95105
275	80751	94795
276	81049	94509
277	81346	94221
278	81636	93926
279	81922	93625
280	82213	93331
281	82503	93036
282	82801	92749
283	83102	92465
284	83381	92158
285	83672	91864
286	83968	91575
287	84269	91291
288	84551	90987
289	84852	90704
290	85145	90411
291	85456	90139
292	85735	89832
293	86035	89546
294	86320	89246
295	86598	88938
296	86887	88642
297	87168	88338
298	87462	88047
299	87745	87745
300	88029	87445
301	88326	87156
302	88628	86873
303	88915	86575
304	89210	86285
305	89512	86001
306	89801	85706
307	90086	85406
308	90385	85119
309	90677	84826
310	90969	84534
311	91265	84245
312	91547	83942
313	91824	83636
314	92124	83350
315	92410	83052
316	92709	82765
317	92995	82467
318	93291	82178
319	93583	81885
320	93879	81596
321	94179	81310
322	94477	81022
323	94775	80734
324	95052	80429
325	95344	80136
326	95630	79837
327	95916	79540
328	96198	79239
329	96486	78943
330	96790	78660
331	97087	78371
332	97378	78078
333	97683	77795
334	97984	77509
335	98279	77219
336	98570	76925
337	98841	76616
338	99127	76319
339	99420	76027
340	99715	75737
341	99999	75438
342	100287	75142
343	100583	74853
344	100888	74569
345	101171	74270
346	101457	73973
347	101755	73685
348	102051	73395
349	102341	73101
350	102623	72801
351	102905	72501
352	103178	72195
353	103464	71898
354	103748	71601
355	104033	71304
356	104324	71011
357	104626	70725
358	104914	70429
359	105198	70132
360	105497	69844
361	105784	69548
362	106067	69250
363	106362	68960
364	106646	68662
365	106930	68365
366	107230	68078
367	107533	67792
368	107819	67496
369	108111	67204
370	108392	66905
371	108684	66613
372	108978	66322
373	109263	66025
374	109564	65738
375	109846	65440
376	110131	65144
377	110422	64851
378	110718	64561
379	111017	64273
380	111307	63979
381	111586	63680
382	111882	63390
383	112165	63093
384	112478	62812
385	112778	62524
386	113065	62229
387	113361	61939
388	113659	61650
389	113939	61351
390	114231	61059
391	114515	60763
392	114808	60471
393	115100	60179
394	115395	59888
395	115672	59588
396	115965	59297
397	116256	59004
398	116555	58716
399	116838	58419
400	117133	58128
401	117414	57831
402	117708	57540
403	118000	57247
404	118292	56955
405	118595	56668
406	118874	56370
407	119176	56083
408	119468	55791
409	119760	55498
410	120055	55208
411	120353	54918
412	120647	54627
413	120924	54328
414	121222	54038
415	121514	53746
416	121796	53450
417	122079	53154
418	122373	52863
419	122659	52568
420	122950	52275
421	123235	51980
422	123522	51686
423	123807	51391
424	124103	51101
425	124386	50805
426	124681	50515
427	124972	50222
428	125259	49928
429	125556	49638
430	125852	49348
431	126145	49056
432	126416	48756
433	126705	48463
434	126989	48168
435	127285	47877
436	127574	47585
437	127866	47293
438	128153	46999
439	128432	46702
440	128716	46408
441	129012	46117
442	129297	45823
443	129581	45528
444	129869	45235
445	130164	44944
446	130457	44653
447	130751	44362
448	131041	44069
449	131329	43776
450	131613	43482
451	131900	43188
452	132200	42899
453	132494	42608
454	132781	42315
455	133075	42023
456	133361	41730
457	133660	41440
458	133947	41147
459	134220	40849
460	134508	40556
461	134784	40260
462	135067	39965
463	135352	39672
464	135652	39383
465	135946	39091
466	136243	38801
467	136530	38508
468	136828	38218
469	137132	37930
470	137426	37639
471	137716	37346
472	138001	37053
473	138292	36761
474	138588	36470
475	138880	36178
476	139175	35888
477	139469	35596
478	139766	35306
479	140065	35016
480	140352	34723
481	140628	34427
482	140919	34135
483	141209	33843
484	141500	33551
485	141788	33258
486	142076	32966
487	142368	32674
488	142653	32381
489	142945	32089
490	143231	31796
491	143526	31505
492	143813	31213
493	144106	30921
494	144394	30629
495	144685	30337
496	144978	30045
497	145280	29756
498	145583	29466
499	145878	29175
500	146156	28881
501	146492	28598
502	146776	28304
503	147059	28011
504	147342	27717
505	147635	27426
506	147925	27134
507	148217	26842
508	148502	26549
509	148793	26257
510	149082	25965
511	149383	25675
512	149679	25384
513	149974	25093
514	150259	24800
515	150547	24507
516	150843	24216
517	151129	23924
518	151420	23632
519	151694	23337
520	151975	23044
521	152260	22751
522	152557	22460
523	152839	22167
524	153149	21878
525	153440	21586
526	153716	21292
527	154001	21000
528	154283	20707
529	154563	20414
530	154850	20121
531	155146	19830
532	155440	19539
533	155721	19246
534	156014	18954
535	156288	18661
536	156587	18370
537	156878	18078
538	157167	17787
539	157465	17496
540	157753	17204
541	158037	16911
542	158334	16620
543	158632	16329
544	158918	16037
545	159216	15746
546	159521	15456
547	159811	15164
548	160092	14871
549	160392	14581
550	160698	14290
551	160999	13999
552	161278	13707
553	161575	13415
554	161863	13124
555	162157	12832
556	162446	12540
557	162743	12249
558	163056	11959
559	163349	11667
560	163648	11376
561	163943	11085
562	164225	10792
563	164522	10501
564	164818	10209
565	165125	9919
566	165435	9628
567	165768	9339
568	166129	9050
569	166448	8760
570	166728	8467
571	167029	8176
572	167333	7884
573	167626	7592
574	167918	7300
575	168205	7008
576	168506	6716
577	168800	6424
578	169093	6132
579	169385	5840
580	169678	5548
581	169967	5256
582	170245	4964
583	170541	4672
584	170826	4380
585	171109	4087
586	171399	3795
587	171693	3503
588	171978	3211
589	172260	2919
590	172552	2627
591	172828	2335
592	173100	2043
593	173376	1751
594	173666	1459
595	173958	1167
596	174243	875
597	174528	583
598	174820	291
599	175113	0
